id,licence plate,SSN,name,start date,end date,payment info,additional insurance
76351,SJ 234,2904802439,John Smith,2018-12-15,2018-12-20,Cash,Yes
87256,SJ 234,3007904569,Michael Stevens,2018-12-26,2018-12-30,Credit card,No
55852,SP L20,1407965549,Jennifer Edwards,2018-12-27,2019-01-27,Debit card,No
42260,LO 567,1407965549,Jennifer Edwards,2019-04-27,2019-08-27,Credit card,Yes
83437,TE 378,2612654589,Harold Johnsson,2018-12-27,2019-01-15,Credit card,No
55804,RI T09,3007904569,Michael Stevens,2018-12-27,2019-01-30,Debit card,Yes
41112,HK 468,0503603659,Bob Howards,2018-12-14,2019-12-14,Credit card,Yes
2170,PM S45,1405915439,Vanessa Taylor,2018-12-11,2018-12-13,Credit card,No
23199,JK 911,0905953189,Fannar Leo Orvarsson,2018-12-15,2018-12-25,Cash,Yes
76876,TO 999,1407965549,Jennifer Edwards,2019-12-12,2020-12-12,Cash,Yes
36486,JR FL0,2904802439,John Smith,2019-03-31,2020-03-31,Cash,No
